DEN1_BURMA_2005_61117 DEN1_CAMBODIA_2003_GENBANKGQ868619 DEN1_PERU_2000_IQT_6152 DEN1_PUERTORICO_2006_BID_V852 DEN1_VIETNAM_2008_BID_V1937 DEN2_CAMBODIA_2009_D2T0601085_KH09_KSP DEN2_MALAYSIA_2008_DKD811 DEN2_NICARAGUA_2006_BID_V571 DEN2_TONGA_1974_NIHVACCINE DEN2_VIETNAM_2006_BID_V735 DEN3_BURMA_2008_80931 DEN3_CAMBODIA_2011_V0907330 DEN3_FIJI_1992__ DEN3_PUERTORICO_2006_429965 DEN3_VIETNAM_2007_BID_V1817 DEN4_CAMBODIA_2010_U0811386 DEN4_CAMBODIA_2011_V0624301 DEN4_INDONESIA_1973_M30153_P5 DEN4_NICARAGUA_1999_703 DEN4_PUERTORICO_1999_BID_V2446 DEN1_NAURU_1974_NIHVACCINE DEN2_VIETNAM_2003_AC21 DEN2_VIETNAM_2003_DF_670 DEN2_NICARAGUA_2005_BID_V533 DEN2_PERU_1996_IQT2913 DEN3_VIETNAM_2006_BID_V1329 DEN1_BOLIVIA_2010_FSB_3363 DEN1_VENEZUELA_2000_OBT_1298 DEN2_VIETNAM_2003_AC21_2 DEN2_SENEGAL_2003_SENDAK_HD_0674 DEN2_VIETNAM_2006_32_135_2 DEN3_NICARAGUA_2009_608 DEN3_PUERTORICO_1963_PRS_228762 DEN4_MALAYSIA_1973_P73_1120_SYLVATIC DEN4_BURMA_2008_81087 DEN4_BRAZIL_2012_BR_12
DENV2/THAILAND/1999/04177/99 <20 <20 46 <20 31 233 57 375 53 2996 47 51 <20 <20 <20 53 44 <20 <20 <20 * * * * * * * * * * * * * * * *
DENV2/THAILAND/2000/00342/00 27 24 47 67 43 109 71 261 98 1326 22 27 19 40 28 13 11 12 <8 18 * * * * * * * * * * * * * * * *
DENV2/THAILAND/2000/01695/00 36 28 169 27 <20 109 242 188 53 2174 43 44 21 20 <20 45 44 <20 <20 <20 * * * * * * * * * * * * * * * *
DENV2/THAILAND/2000/01754/00 25 20 108 40 18 158 100 196 66 1121 19 23 20 21 34 21 11 5 7 10 * * * * * * * * * * * * * * * *
DENV2/THAILAND/2000/05512/00 43 18 144 34 17 112 43 227 71 576 18 21 13 23 24 27 13 8 10 12 * * * * * * * * * * * * * * * *
DENV2/THAILAND/2000/05529/00 22 17 52 32 13 118 45 170 34 951 13 21 11 49 21 13 13 <4 9 9 * * * * * * * * * * * * * * * *
DENV2/THAILAND/2000/05855/00 26 33 93 <20 <20 109 86 143 <20 718 29 <20 24 <20 <20 <20 <20 <20 <20 <20 * * * * * * * * * * * * * * * *
DENV2/THAILAND/2000/06013/00 34 9 177 27 14 122 105 182 64 674 25 28 25 32 23 28 11 7 14 7 * * * * * * * * * * * * * * * *
DENV2/THAILAND/2001/02860/01 50 36 197 93 28 <8 138 338 135 1722 75 46 40 40 63 106 52 13 24 19 * * * * * * * * * * * * * * * *
DENV2/THAILAND/2001/02900/01 16 11 84 40 33 152 98 293 163 643 61 26 20 17 17 29 17 8 6 13 * * * * * * * * * * * * * * * *
DENV2/THAILAND/2001/03244/01 5 7 100 15 <4 111 47 75 42 806 14 4 8 11 12 12 8 <4 5 <4 * * * * * * * * * * * * * * * *
DENV2/THAILAND/2001/03693/01 33 16 158 38 9 175 89 194 53 489 26 30 15 21 19 21 9 <4 8 8 * * * * * * * * * * * * * * * *
DENV2/THAILAND/2001/06096/01 136 28 758 144 44 265 172 333 103 1149 171 175 71 86 45 83 51 15 57 10 * * * * * * * * * * * * * * * *
DENV2/THAILAND/2002/00060/02 50 18 177 56 48 200 120 258 89 901 29 19 20 33 31 30 16 7 <4 21 * * * * * * * * * * * * * * * *
DENV2/THAILAND/2002/01050/02 22 5 67 24 14 156 133 233 71 1013 32 22 11 21 17 26 9 5 <4 11 * * * * * * * * * * * * * * * *
DENV2/THAILAND/2002/02678/02 33 13 54 8 11 85 62 202 32 1009 16 16 15 24 20 15 8 <4 5 8 * * * * * * * * * * * * * * * *
DENV2/THAILAND/2002/02934/02 23 10 136 29 8 117 86 140 40 595 15 21 11 14 16 11 6 5 <4 6 * * * * * * * * * * * * * * * *
DENV2/THAILAND/2003/01082/03 239 34 250 <20 61 186 207 431 118 2756 <20 78 49 57 67 137 134 102 67 35 * * * * * * * * * * * * * * * *
DENV2/THAILAND/2004/00159/04 27 15 74 <8 11 141 129 153 49 572 25 18 23 22 21 17 17 <8 <8 11 * * * * * * * * * * * * * * * *
DENV2/THAILAND/2004/00248/04 62 37 460 173 34 320 153 876 189 1584 77 99 40 104 40 117 37 32 28 25 * * * * * * * * * * * * * * * *
DENV2/THAILAND/2004/00560/04 36 22 183 26 28 208 135 343 159 1035 25 34 25 29 23 35 26 30 11 14 * * * * * * * * * * * * * * * *
DENV2/THAILAND/2004/00617/04 16 7 144 17 19 46 106 201 50 599 12 5 13 13 26 <4 5 <4 9 8 * * * * * * * * * * * * * * * *
DENV2/THAILAND/2004/01224/04 31 34 141 79 26 171 163 419 61 3552 53 40 54 51 59 45 37 50 34 24 * * * * * * * * * * * * * * * *
DENV2/THAILAND/2004/01462/04 57 22 246 <20 <20 152 179 109 61 2413 94 58 83 24 44 <20 74 29 <20 26 * * * * * * * * * * * * * * * *
DENV2/THAILAND/2004/01646/04 42 41 222 56 34 147 91 213 106 224 25 81 137 57 105 32 26 11 35 20 * * * * * * * * * * * * * * * *
DENV2/THAILAND/2004/01666/04 33 22 144 47 27 149 100 226 154 1424 42 48 16 65 18 25 13 8 16 9 * * * * * * * * * * * * * * * *
DENV2/THAILAND/2005/01495/05 39 <20 95 <20 50 299 77 156 41 861 27 33 <20 <20 <20 21 <20 <20 <20 22 * * * * * * * * * * * * * * * *
DENV2/THAILAND/2005/01574/05 <20 <20 43 <20 <20 104 66 118 27 3476 38 <20 <20 20 <20 34 <20 <20 <20 <20 * * * * * * * * * * * * * * * *
DENV2/THAILAND/2006/00036/06 38 14 57 49 15 183 132 262 79 1073 37 52 43 48 69 53 37 <4 13 8 * * * * * * * * * * * * * * * *
DENV2/THAILAND/2006/00127/06 22 16 77 22 20 34 28 29 32 89 54 37 20 42 20 27 <8 <8 <8 <8 * * * * * * * * * * * * * * * *
DENV2/THAILAND/2006/00444/06 21 13 118 29 13 146 65 163 56 778 19 21 13 22 15 20 11 <4 10 5 * * * * * * * * * * * * * * * *
DENV2/THAILAND/2006/00525/06 53 40 128 34 15 133 61 215 80 840 42 46 33 56 22 37 40 9 20 9 * * * * * * * * * * * * * * * *
DENV2/THAILAND/2006/00586/06 72 22 160 76 50 109 140 79 100 566 35 49 41 44 50 30 18 8 * 12 * * * * * * * * * * * * * * * *
DENV2/THAILAND/2006/00697/06 33 <20 168 78 <20 141 74 131 108 577 50 59 <20 <20 <20 31 23 <20 <20 <20 * * * * * * * * * * * * * * * *
DENV2/THAILAND/2006/02337/06 13 18 50 7 8 64 80 65 38 661 <4 9 20 9 21 16 8 <4 <4 <4 * * * * * * * * * * * * * * * *
DENV2/THAILAND/2007/00408/07 101 53 221 <20 52 254 130 374 100 5364 44 40 49 52 <20 46 42 <20 <20 26 * * * * * * * * * * * * * * * *
DENV2/THAILAND/2007/00496/07 130 91 321 118 124 484 251 552 254 2719 84 81 92 79 151 83 67 48 35 73 * * * * * * * * * * * * * * * *
DENV2/THAILAND/2007/00511/07 <20 22 56 <20 <20 126 43 244 <20 794 <20 <20 <20 49 <20 <20 <20 <20 <20 <20 * * * * * * * * * * * * * * * *
DENV2/THAILAND/2007/02039/07 74 48 105 <20 29 292 120 292 82 5816 102 29 39 49 45 63 80 <20 30 26 * * * * * * * * * * * * * * * *
DENV2/THAILAND/2007/02071/07 38 <20 161 <20 <20 153 59 121 50 445 36 40 <20 28 <20 23 <20 <20 <20 <20 * * * * * * * * * * * * * * * *
DENV2/THAILAND/2010/00791/10 30 25 118 <20 <20 145 74 162 50 935 24 24 <20 36 <20 <20 <20 <20 <20 <20 * * * * * * * * * * * * * * * *
DENV2/THAILAND/2010/01066/10 <20 33 368 <20 <20 336 91 177 85 835 40 60 <20 27 21 33 <20 <20 <20 <20 * * * * * * * * * * * * * * * *
DENV2/THAILAND/2010/01363/10 55 <20 178 <20 <20 158 173 287 79 921 32 119 <20 60 <20 34 52 <20 <20 31 * * * * * * * * * * * * * * * *
DENV2/THAILAND/2010/01549/10 24 <20 47 <20 <20 577 59 136 36 1086 23 28 <20 <20 <20 34 <20 <20 <20 <20 * * * * * * * * * * * * * * * *
DENV2/THAILAND/2011/00220/11 70 <20 114 20 <20 628 67 212 75 1332 34 56 <20 52 32 38 29 <20 <20 22 * * * * * * * * * * * * * * * *
DENV2/THAILAND/2011/00322/11 32 <20 154 <20 <20 212 161 253 95 1865 30 <20 26 <20 <20 35 21 <20 <20 <20 * * * * * * * * * * * * * * * *
DENV2/THAILAND/2011/00556/11 98 <20 360 165 <20 1106 179 627 378 931 71 154 42 63 24 111 54 <20 <20 <20 * * * * * * * * * * * * * * * *
DENV2/THAILAND/2011/01220/11 65 27 111 <20 <20 171 96 194 87 1715 32 25 <20 44 24 47 25 21 <20 <20 * * * * * * * * * * * * * * * *
DENV2/THAILAND/2012/00144/12 55 30 154 <20 <20 810 50 220 <20 1314 170 106 46 71 48 135 120 <20 23 <20 * * * * * * * * * * * * * * * *
DENV2/THAILAND/2012/00258/12 67 <20 127 <20 <20 238 157 238 83 1806 40 69 <20 54 38 25 <20 <20 33 <20 * * * * * * * * * * * * * * * *
DENV2/THAILAND/2012/01090/12 24 <20 57 <20 <20 99 53 92 26 1177 37 <20 <20 23 23 <20 <20 <20 <20 <20 * * * * * * * * * * * * * * * *
DENV2/THAILAND/2012/01113/12 20 <20 <20 <20 <20 238 29 103 <20 549 23 <20 <20 <20 <20 21 <20 <20 <20 <20 * * * * * * * * * * * * * * * *
DENV2/THAILAND/2013/00058/13 41 <20 51 <20 <20 152 70 143 30 1649 21 <20 24 32 <20 24 <20 <20 <20 <20 * * * * * * * * * * * * * * * *
DENV2/THAILAND/2013/00280/13 93 <20 187 <20 <20 865 52 239 46 1644 62 77 27 37 22 44 <20 <20 <20 <20 * * * * * * * * * * * * * * * *
DENV2/THAILAND/2013/00662/13 86 39 110 38 <20 806 107 404 78 2394 46 53 32 <20 49 36 34 <20 <20 <20 * * * * * * * * * * * * * * * *
DENV2/THAILAND/2013/00696/13 28 <20 144 <20 <20 190 103 194 94 960 23 56 <20 41 <20 <20 <20 <20 <20 <20 * * * * * * * * * * * * * * * *
DENV2/THAILAND/2014/00016/14 81 22 81 25 <20 254 117 269 106 1444 42 56 27 62 <20 38 <20 <20 <20 <20 * * * * * * * * * * * * * * * *
DENV2/THAILAND/2014/00740/14 50 <20 60 <20 <20 179 64 145 145 1109 <20 49 24 63 21 <20 <20 <20 <20 <20 * * * * * * * * * * * * * * * *
DENV2/TONGA/1974/TONGA-74 <22 <22 52 <22 26 70 63 144 91 971 33 30 <22 24 22 33 <22 <22 <22 <22 <22 30 135 30 30 24 <22 <22 <22 <22 46 <22 <22 <22 <22 <22
DENV2/VIETNAM/2003/AC21 46 17 193 24 18 362 108 362 158 1259 44 37 32 38 19 25 24 <10 <10 18 * * * * * * * * * * * * * * * *
DENV2/VIETNAM/2003/DF670-AC20 <22 <22 35 39 30 28 96 261 57 1703 <22 <22 <22 <22 24 <22 <22 22 <22 <22 33 52 72 50 35 28 <22 <22 <22 <22 <22 <22 <22 <22 <22 <22
DENV2/VIETNAM/2006/32-135 <22 <22 <22 <22 * 41 76 * 33 2566 <22 <22 <22 <22 * <22 <22 * <22 <22 <22 <22 68 <22 50 <22 <22 <22 <22 <22 26 <22 <22 <22 <22 <22
DENV3/CAMBODIA/2007/FJ639714 51 <20 187 <20 49 71 27 <20 44 67 241 692 146 284 288 35 34 70 <20 41 * * * * * * * * * * * * * * * *
DENV3/CAMBODIA/2007/FJ639731 25 <20 34 <20 <20 <20 23 <20 <20 33 149 259 98 84 170 <20 <20 <20 <20 <20 * * * * * * * * * * * * * * * *
DENV3/CAMBODIA/2008/FJ639716 20 14 71 26 25 17 42 19 15 86 227 297 115 307 397 34 31 10 14 14 * * * * * * * * * * * * * * * *
DENV3/CAMBODIA/2008/GU131905 53 40 131 <20 77 80 <20 31 <20 94 119 344 352 621 264 41 27 25 <20 37 * * * * * * * * * * * * * * * *
DENV3/CAMBODIA/2011/V0907330 <10 <10 <10 10 <10 <10 <10 <10 <10 12 41 97 35 94 41 <10 <10 <10 <10 <10 * * * * * * * * * * * * * * * *
DENV3/FIJI/1992/29472-L11422-I 22 <22 28 37 <22 <22 <22 <22 <22 <22 81 181 129 126 274 <22 <22 <22 <22 <22 22 22 <22 <22 <22 152 <22 <22 <22 <22 <22 35 <22 <22 <22 <22
DENV3/INDONESIA/1978/SLEMAN-1280-AC25 <22 <22 <22 <22 <22 <22 <22 <22 <22 24 28 122 37 41 105 <22 <22 <22 <22 <22 <22 <22 <22 <22 <22 89 <22 <22 <22 <22 <22 <22 <22 <22 <22 <22
DENV3/MYANMAR/2008/80931 <22 <22 <22 <22 <22 <22 <22 <22 * <22 48 218 61 111 81 <22 <22 <22 <22 <22 <22 <22 * <22 <22 72 <22 <22 <22 <22 <22 28 <22 <22 <22 <22
DENV3/NICARAGUA/2009/BID-V4753 <22 <22 <22 <22 <22 <22 <22 <22 <22 22 37 159 35 231 57 <22 <22 <22 <22 <22 <22 <22 <22 <22 22 61 <22 <22 <22 <22 <22 46 <22 <22 <22 <22
DENV3/PUERTO-RICO/1963/PRS-228762-AC27 * * * <22 22 * 46 <22 <22 37 * * 39 * 144 * * <22 * 85 26 22 <22 35 26 161 * * * * * * * * * *
DENV3/PUERTORICO/2006/429965 <22 <22 24 <22 * <22 <22 * <22 28 52 200 57 279 * <22 <22 * <22 <22 33 <22 <22 <22 <22 155 <22 <22 <22 <22 <22 52 22 <22 <22 <22
DENV3/THAILAND/1994/00128/94 <20 <20 21 <20 <20 <20 <20 <20 <20 <20 181 339 76 127 90 <20 <20 <20 <20 <20 * * * * * * * * * * * * * * * *
DENV3/THAILAND/1994/00255/94 <20 <20 72 <20 20 45 <20 <20 <20 39 285 445 132 301 274 33 24 <20 <20 41 * * * * * * * * * * * * * * * *
DENV3/THAILAND/1994/00831/94 30 26 81 <20 35 51 25 <20 <20 61 300 777 177 455 529 55 45 25 37 43 * * * * * * * * * * * * * * * *
DENV3/THAILAND/1994/01311/94 67 <20 68 103 <20 <20 <20 24 20 67 170 779 123 241 225 <20 <20 <20 <20 21 * * * * * * * * * * * * * * * *
DENV3/THAILAND/1995/00247/95 <10 <10 35 <10 28 22 <10 <10 10 32 102 268 53 315 237 20 12 15 <10 <10 * * * * * * * * * * * * * * * *
DENV3/THAILAND/1995/00631/95 33 <20 93 <20 31 33 <20 <20 27 135 353 587 130 474 411 63 66 40 51 45 * * * * * * * * * * * * * * * *
DENV3/THAILAND/1995/00780/95 11 8 17 6 11 8 6 10 <4 34 68 83 85 174 250 <4 6 4 <4 8 * * * * * * * * * * * * * * * *
DENV3/THAILAND/1995/01296/95 58 11 64 25 45 25 13 15 7 28 215 311 102 332 179 21 15 8 7 9 * * * * * * * * * * * * * * * *
DENV3/THAILAND/1995/01658/95 16 16 43 51 99 19 10 47 4 36 1575 376 173 195 459 <4 8 11 <4 14 * * * * * * * * * * * * * * * *
DENV3/THAILAND/1996/00833/96 49 49 119 <20 104 56 22 <20 21 84 402 801 281 647 702 52 30 46 <20 34 * * * * * * * * * * * * * * * *
DENV3/THAILAND/1996/01528/96 83 <20 34 48 21 22 <20 <20 <20 37 292 521 268 363 481 21 <20 28 <20 <20 * * * * * * * * * * * * * * * *
DENV3/THAILAND/1996/01720/96 22 21 118 <20 82 <20 <20 <20 32 99 436 515 166 346 749 106 46 24 <20 49 * * * * * * * * * * * * * * * *
DENV3/THAILAND/1996/01941/96 <20 27 132 <20 50 40 <20 <20 <20 79 359 974 124 424 415 <20 <20 53 <20 83 * * * * * * * * * * * * * * * *
DENV3/THAILAND/1997/03080/97 51 60 72 <20 77 110 30 <20 <20 47 455 1410 180 892 634 73 30 24 <20 61 * * * * * * * * * * * * * * * *
DENV3/THAILAND/1998/00317/98 38 19 58 28 45 12 8 13 13 53 167 146 66 197 217 34 21 12 10 28 * * * * * * * * * * * * * * * *
DENV3/THAILAND/1998/00596/98 25 <4 63 35 43 29 <4 17 9 26 264 198 77 319 214 15 6 9 <4 14 * * * * * * * * * * * * * * * *
DENV3/THAILAND/1998/02434/98 48 29 128 119 38 23 24 14 11 72 169 274 158 365 398 42 13 11 5 14 * * * * * * * * * * * * * * * *
DENV3/THAILAND/1998/02551/98 32 <20 34 51 <20 26 <20 <20 21 28 154 640 99 334 370 22 <20 <20 <20 22 * * * * * * * * * * * * * * * *
DENV3/THAILAND/1998/04187/98 21 27 112 47 34 18 22 13 21 63 227 218 118 191 542 33 19 14 11 23 * * * * * * * * * * * * * * * *
DENV3/THAILAND/1998/04331/98 25 10 31 19 22 16 22 <10 21 54 106 262 85 278 412 18 <10 <10 <10 12 * * * * * * * * * * * * * * * *
DENV3/THAILAND/1998/04946/98 <20 30 46 90 <20 44 <20 <20 <20 31 131 398 178 210 284 32 30 <20 <20 <20 * * * * * * * * * * * * * * * *
DENV3/THAILAND/1998/06070/98 22 <20 32 69 <20 <20 <20 <20 <20 37 143 292 128 336 308 <20 <20 <20 <20 <20 * * * * * * * * * * * * * * * *
DENV3/THAILAND/2000/02029/00 24 24 20 60 22 39 <20 <20 <20 32 174 192 48 306 221 23 39 <20 <20 30 * * * * * * * * * * * * * * * *
DENV3/THAILAND/2000/02080/00 31 10 45 45 21 15 <4 12 10 23 294 164 59 217 225 17 11 <4 5 5 * * * * * * * * * * * * * * * *
DENV3/THAILAND/2000/02242/00 <10 <10 19 <10 62 <10 <10 <10 <10 49 162 143 52 353 303 12 13 <10 <10 18 * * * * * * * * * * * * * * * *
DENV3/THAILAND/2000/05443/00 33 26 34 39 21 25 5 20 8 48 1675 183 75 556 299 18 13 9 <4 22 * * * * * * * * * * * * * * * *
DENV3/THAILAND/2000/05499/00 34 <20 67 61 <20 <20 <20 <20 <20 27 112 302 79 268 219 29 <20 <20 <20 <20 * * * * * * * * * * * * * * * *
DENV3/THAILAND/2000/05815/00 <20 24 71 <20 27 31 <20 <20 <20 64 205 263 93 146 232 68 <20 <20 <20 31 * * * * * * * * * * * * * * * *
DENV3/THAILAND/2000/06135/00 51 <10 77 73 66 28 70 36 33 179 291 276 271 725 1141 25 15 18 29 44 * * * * * * * * * * * * * * * *
DENV3/THAILAND/2001/00152/01 35 11 72 38 21 20 13 11 9 31 159 158 138 169 275 23 15 5 12 8 * * * * * * * * * * * * * * * *
DENV3/THAILAND/2001/00929/01 <20 <20 60 <20 24 <20 <20 <20 <20 55 173 363 59 267 313 <20 <20 <20 <20 <20 * * * * * * * * * * * * * * * *
DENV3/THAILAND/2001/00984/01 28 <20 50 62 27 20 <20 <20 <20 21 146 453 101 213 260 <20 22 <20 <20 <20 * * * * * * * * * * * * * * * *
DENV3/THAILAND/2001/03291/01 66 15 106 64 42 34 17 23 22 63 211 386 187 248 438 25 9 11 6 23 * * * * * * * * * * * * * * * *
DENV3/THAILAND/2001/04045/01 41 16 79 27 26 18 11 13 15 24 196 206 70 282 423 20 16 11 <8 14 * * * * * * * * * * * * * * * *
DENV3/THAILAND/2001/04945/01 35 23 64 14 22 20 <8 19 20 36 240 123 65 310 546 21 19 11 <8 28 * * * * * * * * * * * * * * * *
DENV3/THAILAND/2001/05611/01 48 29 83 <10 85 60 89 31 57 91 559 1474 274 595 455 119 73 45 <10 60 * * * * * * * * * * * * * * * *
DENV3/THAILAND/2001/06503/01 <10 <10 38 11 27 27 39 <10 17 57 257 262 74 211 437 20 20 12 <10 25 * * * * * * * * * * * * * * * *
DENV3/THAILAND/2002/00059/02 <20 31 80 <20 <20 39 20 <20 <20 43 104 146 87 282 336 39 <20 <20 <20 <20 * * * * * * * * * * * * * * * *
DENV3/THAILAND/2002/00104/02 16 8 32 17 18 10 5 16 5 41 182 152 93 288 302 15 9 8 <4 5 * * * * * * * * * * * * * * * *
DENV3/THAILAND/2002/00145/02 <20 <20 32 <20 <20 27 <20 <20 <20 24 209 220 80 208 271 23 <20 <20 <20 22 * * * * * * * * * * * * * * * *
DENV3/THAILAND/2002/00501/02 40 20 95 136 31 29 55 30 28 144 369 596 320 428 497 27 24 26 25 18 * * * * * * * * * * * * * * * *
DENV3/THAILAND/2002/00536/02 104 24 62 116 33 84 43 23 33 65 528 914 175 840 832 63 40 24 59 32 * * * * * * * * * * * * * * * *
DENV3/THAILAND/2002/00767/02 20 7 31 15 19 11 <4 6 <4 18 151 227 48 222 194 17 12 4 <4 8 * * * * * * * * * * * * * * * *
DENV3/THAILAND/2002/02173/02 23 15 71 56 44 24 5 10 21 35 131 298 39 325 426 19 5 11 <4 11 * * * * * * * * * * * * * * * *
DENV3/THAILAND/2002/03135/02 33 20 131 52 42 41 10 22 13 47 246 312 217 439 373 29 11 9 11 14 * * * * * * * * * * * * * * * *
DENV3/THAILAND/2003/01619/03 46 <20 109 <20 51 67 <20 <20 43 85 304 734 177 255 364 30 45 <20 <20 <20 * * * * * * * * * * * * * * * *
DENV3/THAILAND/2003/02208/03 48 48 135 <20 40 134 34 <20 52 122 266 539 261 534 667 98 50 59 <20 46 * * * * * * * * * * * * * * * *
DENV3/THAILAND/2004/00441/04 77 <20 77 118 42 53 45 28 33 68 306 669 152 872 712 41 24 32 39 28 * * * * * * * * * * * * * * * *
DENV3/THAILAND/2004/00602/04 52 13 100 40 43 45 <10 24 20 79 425 437 158 479 346 46 43 14 20 21 * * * * * * * * * * * * * * * *
DENV3/THAILAND/2004/00991/04 36 17 48 36 18 19 9 14 <4 26 249 190 155 390 140 15 11 17 8 7 * * * * * * * * * * * * * * * *
DENV3/THAILAND/2004/01144/04 50 16 69 20 19 13 7 8 5 31 165 326 89 397 547 19 10 6 <4 7 * * * * * * * * * * * * * * * *
DENV3/THAILAND/2004/01184/04 21 20 70 24 11 18 <4 8 7 21 124 137 68 293 185 17 16 5 6 16 * * * * * * * * * * * * * * * *
DENV3/THAILAND/2004/01393/04 132 52 351 219 85 84 63 95 63 139 510 747 391 395 696 74 55 38 31 33 * * * * * * * * * * * * * * * *
DENV3/THAILAND/2005/00806/05 <20 <20 152 <20 <20 20 21 <20 24 44 284 608 159 543 822 33 23 26 <20 39 * * * * * * * * * * * * * * * *
DENV3/THAILAND/2005/01491/05 <20 53 49 <20 37 54 22 35 <20 54 215 422 151 361 580 52 <20 25 <20 124 * * * * * * * * * * * * * * * *
DENV3/THAILAND/2006/00018/06 53 23 136 83 43 62 13 42 44 93 478 255 126 351 329 32 12 8 7 17 * * * * * * * * * * * * * * * *
DENV3/THAILAND/2006/00588/06 <20 <20 74 <20 <20 <20 <20 <20 <20 <20 135 503 66 324 175 23 <20 <20 <20 <20 * * * * * * * * * * * * * * * *
DENV3/THAILAND/2006/01067/06 11 11 61 33 15 13 <8 18 <8 16 205 248 102 105 147 27 12 11 <8 <8 * * * * * * * * * * * * * * * *
DENV3/THAILAND/2006/01128/06 23 <4 52 41 17 19 <4 5 <4 29 282 284 53 281 279 16 8 5 12 10 * * * * * * * * * * * * * * * *
DENV3/THAILAND/2006/01373/06 21 <20 77 63 20 44 <20 <20 27 <20 421 354 126 92 248 42 <20 <20 34 <20 * * * * * * * * * * * * * * * *
DENV3/THAILAND/2006/01375/06 <20 <20 <20 <20 <20 <20 <20 <20 <20 <20 83 191 48 85 129 <20 <20 <20 <20 <20 * * * * * * * * * * * * * * * *
DENV3/THAILAND/2006/02042/06 <20 <20 23 25 <20 <20 22 <20 <20 25 158 304 78 209 154 <20 <20 <20 <20 <20 * * * * * * * * * * * * * * * *
DENV3/THAILAND/2006/02121/06 37 22 89 71 66 24 11 26 29 79 87 115 92 141 194 8 11 24 <4 18 * * * * * * * * * * * * * * * *
DENV3/THAILAND/2006/02341/06 24 15 54 33 40 16 16 35 18 41 449 267 189 390 389 17 22 14 <8 22 * * * * * * * * * * * * * * * *
DENV3/THAILAND/2006/02485/06 38 12 57 31 21 25 10 10 <4 50 152 292 131 195 284 11 15 16 <4 10 * * * * * * * * * * * * * * * *
DENV3/THAILAND/2006/02678/06 <20 <20 67 <20 21 <20 <20 <20 <20 38 112 226 45 339 195 <20 <20 23 <20 <20 * * * * * * * * * * * * * * * *
DENV3/THAILAND/2006/02784/06 <20 <20 <20 34 <20 <20 <20 <20 <20 <20 148 298 60 129 76 <20 <20 <20 <20 <20 * * * * * * * * * * * * * * * *
DENV3/THAILAND/2008/01398/08 <20 <20 21 <20 <20 <20 <20 <20 <20 <20 46 149 71 70 110 <20 <20 <20 <20 20 * * * * * * * * * * * * * * * *
DENV3/THAILAND/2009/00702/09 <20 26 121 <20 <20 <20 <20 <20 61 57 219 471 152 251 405 74 <20 <20 <20 <20 * * * * * * * * * * * * * * * *
DENV3/THAILAND/2009/01231/09 39 36 78 <20 33 <20 23 <20 46 46 170 300 118 384 316 <20 <20 <20 <20 <20 * * * * * * * * * * * * * * * *
DENV3/THAILAND/2010/00075/10 <20 37 95 46 49 <20 <20 <20 21 48 158 528 90 305 257 21 <20 <20 <20 <20 * * * * * * * * * * * * * * * *
DENV3/THAILAND/2010/01385/10 <20 <20 <20 <20 <20 <20 <20 <20 <20 <20 65 532 38 282 72 <20 <20 <20 <20 <20 * * * * * * * * * * * * * * * *
DENV3/THAILAND/2010/01575/10 <20 <20 56 <20 <20 <20 <20 <20 <20 22 158 352 56 203 268 <20 22 <20 <20 <20 * * * * * * * * * * * * * * * *
DENV3/THAILAND/2010/01601/10 <20 <20 <20 <20 <20 <20 <20 <20 <20 35 220 408 57 301 282 <20 <20 <20 <20 <20 * * * * * * * * * * * * * * * *
DENV3/THAILAND/2011/00209/11 64 72 105 <20 46 35 <20 <20 <20 80 163 743 126 621 305 55 43 30 <20 87 * * * * * * * * * * * * * * * *
DENV3/THAILAND/2011/00323/11 <20 <20 <20 <20 <20 <20 <20 <20 <20 <20 67 107 57 57 107 <20 <20 <20 <20 <20 * * * * * * * * * * * * * * * *
DENV3/THAILAND/2011/01035/11 <20 <20 <20 <20 <20 <20 <20 <20 <20 <20 44 316 <20 131 54 <20 <20 <20 <20 <20 * * * * * * * * * * * * * * * *
DENV3/THAILAND/2011/01278/11 <20 <20 29 <20 <20 <20 <20 <20 <20 28 127 218 46 189 309 <20 <20 <20 <20 <20 * * * * * * * * * * * * * * * *
DENV3/THAILAND/2012/00608/12 <20 <20 <20 <20 <20 <20 <20 <20 <20 <20 61 206 23 119 85 <20 <20 <20 <20 <20 * * * * * * * * * * * * * * * *
DENV3/THAILAND/2012/00817/12 <20 <20 61 <20 <20 <20 23 <20 <20 51 124 313 82 328 185 <20 <20 <20 <20 <20 * * * * * * * * * * * * * * * *
DENV3/THAILAND/2012/01094/12 <20 <20 <20 <20 <20 <20 <20 <20 <20 <20 72 236 47 97 47 <20 <20 <20 <20 <20 * * * * * * * * * * * * * * * *
DENV3/THAILAND/2012/01106/12 <20 <20 53 <20 <20 <20 <20 <20 <20 <20 103 313 38 196 117 <20 <20 <20 <20 <20 * * * * * * * * * * * * * * * *
DENV3/THAILAND/2013/00065/13 32 <20 56 <20 31 <20 <20 <20 <20 <20 114 260 47 171 106 24 <20 <20 <20 <20 * * * * * * * * * * * * * * * *
DENV3/THAILAND/2013/00693/13 <20 <20 <20 <20 <20 <20 <20 <20 <20 <20 39 421 21 130 49 <20 <20 <20 <20 <20 * * * * * * * * * * * * * * * *
DENV3/THAILAND/2013/00695/13 <20 <20 <20 <20 <20 <20 <20 <20 <20 <20 42 198 27 127 42 <20 <20 <20 <20 <20 * * * * * * * * * * * * * * * *
